Subject,Module no,Module content,Keywords
System Programming and Compiler Construction,1.0,Introduction to System Software,"Concept of System Software, Goals of system software, System program and system programming, Assembler, Macro processor, Loader, Linker, Compiler, Interpreter, Device Drivers, Operating system, Editors, Debuggers"
System Programming and Compiler Construction,2.0,Assemblers,"Elements of Assembly Language programming, Assembly scheme, Pass structure of assembler, Assembler Design, Two pass assembler Design, Single pass Assembler Design for X86 processor, Data structures used in assembler"
System Programming and Compiler Construction,3.0,Macros and Macro Processor,"Macro definition and call, Features of Macro facility, Simple macros, Parameterized macros, Conditional macros, Nested macros, Design of Two pass macro processor, Data structures used in macro processor"
System Programming and Compiler Construction,4.0,Loaders and Linkers,"Functions of loaders, Relocation and Linking concept, Relocating loader, Direct Linking Loader, Dynamic linking, Dynamic loading"
System Programming and Compiler Construction,5.0,Compilers: Analysis Phase,"Introduction to compilers, Phases of compilers, Lexical Analysis, Finite State Automata, Design of Lexical analyzer, Syntax Analysis, Context Free Grammar, Top down parser - LL(1), Bottom up parser - SR Parser, Operator precedence parser, SLR parser, Semantic Analysis, Syntax directed definitions"
System Programming and Compiler Construction,6.0,Compilers: Synthesis phase,"Intermediate Code Generation, Syntax tree, Postfix notation, Three address codes, Triples, Quadruples, Indirect triple, Code Optimization, Machine Dependent optimization, Machine Independent optimization, Code Generation, Design of code generator, Code generation algorithm, Basic block, Flow graph"
Cryptography & System Security,1.0,Introduction - Number Theory and Basic Cryptography,"Security Goals, Attacks, Services and Mechanisms, Modular Arithmetic, Euclidean Algorithm, Fermat's Theorem, Euler's Theorem, Classical Encryption techniques, Symmetric cipher model, Mono-alphabetic substitution, Polyalphabetic substitution, Vigenere cipher, Playfair cipher, Hill cipher, Transposition techniques, Keyed and keyless transposition ciphers"
Cryptography & System Security,2.0,Symmetric and Asymmetric key Cryptography and key Management,"Block cipher principles, Block cipher modes of operation, DES, Double DES, Triple DES, Advanced Encryption Standard (AES), RC4 algorithm, Public key cryptography, RSA Cryptosystem, Knapsack cryptosystem, Symmetric Key Distribution, KDC, Needham-Schroeder protocol, Kerberos Authentication protocol, Symmetric key agreement - Diffie Hellman, Digital Certificate - X.509, PKI"
Cryptography & System Security,3.0,Cryptographic Hash Functions,"Cryptographic hash functions, Properties of secure hash function, MD5, SHA-1, MAC, HMAC, CMAC"
Cryptography & System Security,4.0,Authentication Protocols & Digital Signature Schemes,"User Authentication, Entity Authentication, Password Based Authentication, Challenge Response Based Authentication, Digital Signature, Attacks on Digital Signature, Digital Signature Scheme - RSA"
Cryptography & System Security,5.0,Network Security and Applications,"TCP/IP vulnerabilities, Network Attacks, Packet Sniffing, ARP spoofing, Port scanning, IP spoofing, DOS attacks, ICMP flood, SYN flood, UDP flood, Distributed Denial of Service, PGP, SSL, IPSEC, IDS, Firewalls"
Cryptography & System Security,6.0,System Security,"Buffer Overflow, Malicious Programs, Worms and Viruses, SQL injection"
Mobile Computing,1.0,Introduction to Mobile Computing,"Introduction to Mobile Computing, Telecommunication Generations, Cellular systems, Electromagnetic Spectrum, Antenna, Signal Propagation, Signal Characteristics, Multiplexing, Spread Spectrum: DSSS & FHSS, Co-channel interference"
Mobile Computing,2.0,GSM Mobile services,"GSM Mobile services, System Architecture, Radio interface, Protocols, Localization and Calling, Handover, Security (A3, A5 & A8), GPRS system and protocol architecture, UTRAN, UMTS core network, Improvements on Core Network"
