0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sr. No.,Heading,Particulars,,,,,,,,,,,
1,Title of the Course,"Third Year Engineering
( Computer Engineering)",,,,,,,,,,,
2,Eligibility for Admission,"After Passing Second Year Engineering as per
the Ordinance 0.6243",,,,,,,,,,,
3,Passing Marks,40%,,,,,,,,,,,
4,"Ordinances /
Regulations ( if any)",Ordinance 0.6243,,,,,,,,,,,
5,No. of Years / Semesters,8 semesters,,,,,,,,,,,
6,Level,"P.G. / U.G./ Diploma / Certificate
(Strike out which is not applicable)",,,,,,,,,,,
7,Pattern,"Yearly / Semester
(Strike out which is not applicable )",,,,,,,,,,,
8,Status,"New / Revised
(Strike out which is not applicable )",,,,,,,,,,,
9,"To be implemented from
Academic Year",With effect from Academic Year: 2021-2022,,,,,,,,,,,
"Course
Code",,Course Name,"Teaching Scheme
(Contact Hours)",,,,,Credits Assigned,,,,,
,,,Theory,,Pract.,,,Theory,,Pract.,,Total,
CSC501,,"Theoretical Computer
Science",3,,--,,,3,,--,,3,
CSC502,,Software Engineering,3,,--,,,3,,,,3,
CSC503,,Computer Network,3,,--,,,3,,--,,3,
CSC504,,"Data Warehousing &
Mining",3,,--,,,3,,--,,3,
CSDLO501x,,"Department Level
Optional Course- 1",3,,--,,,3,,--,,3,
CSL501,,"Software Engineering
Lab",--,,2,,,--,,1,,1,
CSL502,,Computer Network Lab,--,,2,,,--,,1,,1,
CSL503,,"Data Warehousing &
Mining Lab",--,,2,,,--,,1,,1,
CSL504,,"Business Comm. &
Ethics II",--,,2*+2,,,--,,2,,2,
CSM501,,Mini Project: 2 A,--,,4$,,,--,,2,,2,
Total,,,15,,14,,,15,,07,,22,
"Course
Code",Course Name,,Examination Scheme,,,,,,,,,,
,,,Theory,,,,,,"Term
Work",,"Pract
&oral",,Total
,,,"Internal
Assessment",,,,"End
Sem
Exam","Exam.
Duration
(in Hrs)",,,,,
,,,"Test
1","Test
2",,Avg,,,,,,,
CSC501,"Theoretical Computer
Science",,20,20,,20,80,3,25,,--,,125
CSC502,Software Engineering,,20,20,,20,80,3,--,,--,,100
CSC503,Computer Network,,20,20,,20,80,3,--,,--,,100
CSC504,"Data Warehousing &
Mining",,20,20,,20,80,3,--,,--,,100
CSDLO501x,"Department Level
Optional Course -1",,20,20,,20,80,3,--,,--,,100
CSL501,Software Engineering Lab,,--,--,,--,--,--,25,,25,,50
CSL502,Computer Network Lab,,--,--,,--,--,--,25,,25,,50
CSL503,"Data Warehousing &
Mining Lab",,--,--,,--,--,--,25,,25,,50
