0,1,2,3,4,5,6,7,8,9,10,11,12
Sr. No.,Heading,Particulars,,,,,,,,,,
1,Title of the Course,"Third Year Engineering
( Computer Engineering)",,,,,,,,,,
2,Eligibility for Admission,"After Passing Second Year Engineering as per
the Ordinance 0.6243",,,,,,,,,,
3,Passing Marks,40%,,,,,,,,,,
4,"Ordinances /
Regulations ( if any)",Ordinance 0.6243,,,,,,,,,,
5,No. of Years / Semesters,8 semesters,,,,,,,,,,
6,Level,"P.G. / U.G./ Diploma / Certificate
(Strike out which is not applicable)",,,,,,,,,,
7,Pattern,"Yearly / Semester
(Strike out which is not applicable )",,,,,,,,,,
8,Status,"New / Revised
(Strike out which is not applicable )",,,,,,,,,,
9,"To be implemented from
Academic Year",With effect from Academic Year: 2021-2022,,,,,,,,,,
"Course
Code",Course Name,"Teaching Scheme
(Contact Hours)",,,,,Credits Assigned,,,,,
,,Theory,,"Pract.
Tut.",,,Theory,,Pract.,,Total,
CSC601,"System Programming &
Compiler Construction",3,,--,,,3,,--,,3,
CSC602,"Cryptography & System
Security",3,,--,,,3,,,,3,
CSC603,Mobile Computing,3,,--,,,3,,--,,3,
CSC604,Artificial Intelligence,3,,--,,,3,,--,,3,
CSDLO601x,"Department Level Optional
Course -2",3,,--,,,3,,--,,3,
CSL601,"System Programming &
Compiler Construction Lab",--,,2,,,--,,1,,1,
CSL602,"Cryptography & System
Security Lab",--,,2,,,--,,1,,1,
CSL603,Mobile Computing Lab,--,,2,,,--,,1,,1,
CSL604,Artificial Intelligence Lab,--,,2,,,--,,1,,1,
CSL605,"Skill base Lab Course:
Cloud Computing",--,,4,,,--,,2,,2,
CSM601,Mini Project Lab: 2B,--,,4$,,,--,,2,,2,
Total,,15,,16,,,15,,08,,23,
"Course
Code",Course Name,Examination Scheme,,,,,,,,,,
,,Theory,,,,,,,"Term
Work","Pract.
&oral",,Total
,,Internal Assessment,,,,"End
Sem
Exa
m",,"Exam.
Duration
(in Hrs)",,,,
,,"Test
1","Test
2",,Avg,,,,,,,
CSC601,"System Programming &
Compiler Construction",20,20,,20,80,,3,--,--,,100
CSC602,"Cryptography & System
Security",20,20,,20,80,,3,--,--,,100
CSC603,Mobile Computing,20,20,,20,80,,3,--,--,,100
CSC604,Artificial Intelligence,20,20,,20,80,,3,--,--,,100
CSDLO601x,"Department Level Optional
Course -2",20,20,,20,80,,3,--,--,,100
CSL601,"System Programming &
Compiler Construction Lab",--,--,,--,--,,--,25,25,,50
CSL602,"Cryptography & System
Security Lab",--,--,,--,--,,--,25,--,,25
